from,to,seats_matched,rerun_rate,rewin_rate,reliable
1994,1999,139,0.45323741007194246,0.2949640287769784,yes
1999,2004,120,0.5916666666666667,0.3,yes
2004,2009,122,0.02459016393442623,0.0,no (join artifact)
2009,2014,191,0.031413612565445025,0.010471204188481676,no (join artifact)
2014,2019,167,0.8023952095808383,0.2694610778443114,yes
