year,district,constituency,enp
1994,Nkhata Bay,Nkhatabay North,1.6751413612029835
1994,Nkhotakota,Nkhotakota Central,1.9796986518636
1994,Nkhotakota,Nkhotakota North,3.181176274953722
1994,Nkhotakota,Nkhotakota North-East,2.975066754933104
1994,Nkhotakota,Nkhotakota South,1.988838897038259
1994,Nkhotakota,Nkhotakota South-East,1.8889514075220342
1994,Nsanje,Nsanje Central,1.9813054655381128
1994,Nsanje,Nsanje Lalanje,2.0401795683538433
1994,Nsanje,Nsanje North,1.9373272040405836
1994,Nsanje,Nsanje South,1.9983179700768563
1994,Nsanje,Nsanje South-West,1.9323448100404486
1994,Ntcheu,Mangochi Central,1.351687261872417
1994,Ntcheu,Mangochi East,1.1752843429952005
1994,Ntcheu,Mangochi Lutende,1.2053866124808805
1994,Ntcheu,Mangochi Masongola,1.19575504030667
1994,Ntcheu,Mangochi Monkey Bay,1.7203417948031574
1994,Ntcheu,Mangochi North,1.3583713118051783
1994,Ntcheu,Mangochi North-East,1.433014261175653
1994,Ntcheu,Mangochi South,1.1869665534051614
1994,Ntcheu,Mangochi South-West,1.4832598964366248
1994,Ntcheu,Mangochi West,1.5477149312151741
1994,Ntcheu,Ntcheu Bwanje North,1.7093550488666052
1994,Ntcheu,Ntcheu Bwanje South,1.4197687771011194
1994,Ntcheu,Ntcheu Central,1.5501579365082434
1994,Ntcheu,Ntcheu North,2.165444588172123
1994,Ntcheu,Ntcheu North-East,1.8260490093508688
1994,Ntcheu,Ntcheu South,1.7701865221266742
1994,Ntcheu,Ntcheu West,1.9891756868749206
1994,Ntchisi,Ntchisi East,1.9064851431001295
1994,Ntchisi,Ntchisi North,2.206980831548644
1994,Ntchisi,Ntchisi North-East,2.0554204257126587
1994,Ntchisi,Ntchisi South,1.6704648014244834
1994,Rumphi,Rumphi Central,1.3227590739701114
1994,Rumphi,Rumphi East,1.1798226819958995
1994,Rumphi,Rumphi North,1.148670012898488
1994,Rumphi,Rumphi West,1.371796534934712
1994,Salima,Salima Central,2.3867810966894
1994,Salima,Salima North,1.5945618337701832
1994,Salima,Salima North-West,1.9133050554763344
1994,Salima,Salima South,2.1745607581260784
1994,Salima,Salima South-East,2.1692165950569926
1994,Thyolo,Thyolo Central,1.7206106580382472
1994,Thyolo,Thyolo East,1.7707737901444622
1994,Thyolo,Thyolo North,1.6888776598164443
1994,Thyolo,Thyolo South,1.9658498869426275
1994,Thyolo,Thyolo South-West,1.5968544654777765
1994,Thyolo,Thyolo Thava,1.7684411814371501
1994,Thyolo,Thyolo West,2.7746652528467357
1994,Zomba,Zomba Central,2.4568857620469866
1994,Zomba,Zomba East,1.4246700773778889
1994,Zomba,Zomba North,1.267271413979907
1994,Zomba,Zomba North-East,1.2371780670676775
1994,Zomba,Zomba North-West,1.5278969898048749
1994,Zomba,Zomba South,1.4049471065216372
1994,Zomba,Zomba South-West,1.3884464325353576
1994,Zomba,Zomba West,1.4374518349465186
1999,Balaka,Balaka Central-East,1.2029914779331614
1999,Balaka,Balaka North,1.3122677074775593
