from,to,volatility_pct,type
1994,1999,8.844556393691754,parl
1999,2004,38.93316740887308,parl
2004,2009,47.44169190254943,parl
2009,2014,24.87305614722948,parl
2014,2019,23.484364544559497,parl
1994,1999,18.890566597518518,pres
1999,2009,68.7836935908372,pres
2009,2014,35.4839828889185,pres
2014,2019,30.94834484219974,pres
2019,2020,25.608793337022266,pres
