district,DPP_2019,DPP_2020,MCP_2019,MCP_2020,MCP_swing,DPP_swing
Balaka,0.650902867829324,0.8020920327375981,0.04183978616984677,0.18903457491231002,0.14719478874246325,0.15118916490827405
Blantyre,0.5314143586985749,0.5397524395168342,0.10300080666845926,0.45439399190484214,0.35139318523638285,0.008338080818259264
Chikhwawa,0.7407582964210022,0.7567030713297144,0.14024506518908375,0.23453399401940467,0.09428892883032092,0.015944774908712156
Chiradzulu,0.8068023803148994,0.8789072377506759,0.032206800652945594,0.11453774484059831,0.08233094418765272,0.07210485743577655
Chitipa,0.18445435827041867,0.1345623823608497,0.21424423208911883,0.8449347942995429,0.6306905622104241,-0.04989197590956898
Dedza,0.11217772637463255,0.07895583535316703,0.7199412076526432,0.9130434782608695,0.19310227060822627,-0.03322189102146553
Dowa,0.04163409479139524,0.03053598120862695,0.8770334156419451,0.9690205161057179,0.09198710046377279,-0.011098113582768288
Karonga,0.2647312793589389,0.14960012545083895,0.22631424426637192,0.8363202580702973,0.6100060138039254,-0.11513115390809997
Kasungu,0.13186136007310958,0.0998441689083291,0.7237933144969942,0.8955617329135923,0.17176841841659807,-0.03201719116478048
Likoma,0.3838192168362946,0.35896346644010196,0.2333965844402277,0.633177570093458,0.3997809856532303,-0.024855750396192644
Lilongwe,0.11036292838241937,0.09711384881716155,0.7138913688875503,0.9088986724522206,0.19500730356467022,-0.013249079565257824
Machinga,0.5872247720735492,0.8874657340013233,0.054997361896711165,0.10116403116686698,0.046166669270155815,0.30024096192777416
Mangochi,0.5486329950420229,0.8447942139690824,0.06375882064769872,0.14384283702161121,0.08008401637391249,0.2961612189270595
Mchinji,0.12293413912185495,0.09985300154944313,0.750857178095708,0.8951079975102965,0.1442508194145885,-0.023081137572411828
Mulanje,0.8691217361182627,0.9170353689930594,0.02517483826875006,0.09250067397199448,0.06732583570324442,0.04791363287479666
Mwanza,0.5356778954518788,0.554443281612595,0.09049927440022232,0.430268007462347,0.3397687330621247,0.018765386160716213
Mzimba,0.1505611031220181,0.08342203299627461,0.38967839047401454,0.9107174535593907,0.5210390630853762,-0.06713907012574348
Neno,0.7189976720462452,0.7571814217484599,0.060579111192487774,0.23022080708797674,0.16964169589548897,0.03818374970221472
Nkhatabay,0.2728814217481911,0.20272343359475997,0.2510193251096988,0.7858484874601396,0.5348291623504408,-0.0701579881534311
Nkhotakota,0.28636337350990093,0.2173118991711321,0.4594750886004841,0.7770786922752725,0.3176036036747884,-0.06905147433876882
Nsanje,0.6583946896578033,0.7192169049098819,0.2062049364818983,0.2725046612802983,0.06629972479840002,0.06082221525207854
Ntcheu,0.2779389694847424,0.23587435010235322,0.10195722861430716,0.7419611963551385,0.6400039677408313,-0.04206461938238917
Ntchisi,0.06967359549381029,0.040174447332803405,0.7673448370079237,0.9558618170881045,0.1885169800801808,-0.029499148161006884
Phalombe,0.9009712974335768,0.9461973981360731,0.023514771478440753,0.04844301663538916,0.02492824515694841,0.04522610070249622
Rumphi,0.19073505390395296,0.136706102594792,0.25200914733747143,0.8518313922263653,0.5998222448888939,-0.054028951309160966
Salima,0.24216611648391753,0.1990949310062059,0.48241626992684505,0.7894246636362716,0.30700839370942656,-0.04307118547771163
Thyolo,0.9095082423315017,0.9247870383253715,0.02137209895434838,0.07024514426768497,0.04887304531333658,0.01527879599386972
Zomba,0.627964706273701,0.7557025882830126,0.100055718182423,0.2363170836819023,0.13626136549947931,0.12773788200931158
