year,party_canonical,mean_div,n_dist
1994,AFORD,0.0010884548804753597,22
1994,MCP,0.006131672703507001,22
1994,MDP,0.0020571668373562707,13
1994,UDF,0.018263520951232844,22
1999,CONU,-0.0031629351209613563,3
1999,MCP,0.14013186549874626,24
1999,MDP,0.010200436915841488,15
1999,UDF,0.05433691121330534,24
1999,UP,-0.00488701277476667,14
2009,AFORD,-0.04022314567478418,6
2009,DPP,0.3068728415252165,27
2009,IND,-0.30959592062173413,27
2009,MCP,0.1609441719971585,26
2009,NARC,-0.007726049343471285,10
2009,PETRA,-0.0002657377262159717,7
2009,RP,-0.0005041271334221529,5
2014,CCP,-0.04132983634220411,4
2014,DPP,0.1766854183771083,24
2014,MAFUNDE,-0.003400729990704532,3
2014,MCP,0.07503079973882189,24
2014,NASAF,-0.006087493967609519,14
2014,NLP,-0.0007553054436745749,4
2014,PETRA,0.0010233915798343808,2
2014,PP,0.024127968730536103,24
2014,PPM,-0.007116312530384079,19
2014,UDF,0.03677116492144749,24
2014,UIP,-0.006296355696838392,10
2014,UP,-0.0009512759006205922,3
2019,DPP,0.14178985710952335,28
2019,IND,-0.3290409536307853,28
2019,MCP,0.08950818231910165,28
2019,MMD,0.0006532331021630645,1
2019,UDF,-0.0003846582312679637,26
2019,UP,0.0009432755138191685,5
2019,UTM,0.1282303443862994,28
