dk,mean,count,match_pct
BALAKA,0.8,5,80.0
BLANTYRE,0.8333333333333334,6,83.33333333333334
CHIKWAWA,0.6666666666666666,6,66.66666666666666
CHIRADZULU,0.8333333333333334,6,83.33333333333334
CHITIPA,0.3333333333333333,6,33.33333333333333
DEDZA,0.16666666666666666,6,16.666666666666664
DOWA,0.3333333333333333,6,33.33333333333333
KARONGA,0.3333333333333333,6,33.33333333333333
KASUNGU,0.3333333333333333,6,33.33333333333333
LIKOMA,1.0,4,100.0
LILONGWE,0.16666666666666666,6,16.666666666666664
MACHINGA,0.5,6,50.0
MANGOCHI,0.5,6,50.0
MCHINJI,0.3333333333333333,6,33.33333333333333
MULANJE,0.8333333333333334,6,83.33333333333334
MWANZA,0.8333333333333334,6,83.33333333333334
MZIMBA,0.3333333333333333,6,33.33333333333333
NENO,0.75,4,75.0
NKHATA BAY,0.3333333333333333,6,33.33333333333333
NKHOTAKOTA,0.3333333333333333,6,33.33333333333333
NSANJE,0.5,6,50.0
NTCHEU,0.8333333333333334,6,83.33333333333334
NTCHISI,0.3333333333333333,6,33.33333333333333
PHALOMBE,0.8,5,80.0
RUMPHI,0.3333333333333333,6,33.33333333333333
SALIMA,0.5,6,50.0
THYOLO,0.8333333333333334,6,83.33333333333334
ZOMBA,0.8333333333333334,6,83.33333333333334
